,video_id,title,channel_title,category_id,tags,views,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,VideoPopularity
video_id,1.0,0.01728735338129417,-0.0057850128240975575,-0.009654144617722604,-0.003190846712607217,0.031242683214229718,0.006932290318736418,-0.01134507211141724,-0.006847436200522901,0.004980404407944976,-0.013562092430982461
title,0.01728735338129417,1.0,0.1336354458320068,0.026597721364080156,0.12817484809166704,-0.030664129413006756,-0.018357967135016317,0.023498480765599235,0.010323843277245377,-0.018501111020104082,-0.003909334700298869
channel_title,-0.0057850128240975575,0.1336354458320068,1.0,0.04588082174568148,0.1884829221357634,-0.03044620109350491,0.03347929628733517,-0.03217831590984403,0.012369247566372915,0.014120534083482083,0.01270846847614508
category_id,-0.009654144617722604,0.026597721364080156,0.04588082174568148,1.0,0.13022984523119163,-0.16683139147462445,-0.08679563060021882,0.04686783411280824,-0.01225487962019161,-0.031210642933837778,0.07149398515939041
tags,-0.003190846712607217,0.12817484809166704,0.1884829221357634,0.13022984523119163,1.0,-0.09134846843368082,-0.05572998198474573,-0.0029208718609655864,-0.013714444252506583,-0.010896036634869797,0.04594196134939504
views,0.031242683214229718,-0.030664129413006756,-0.03044620109350491,-0.16683139147462445,-0.09134846843368082,1.0,0.6609187753523202,0.0035011866038847186,0.014858562467571987,-0.0013085500675192657,-0.25986630197837657
comment_count,0.006932290318736418,-0.018357967135016317,0.03347929628733517,-0.08679563060021882,-0.05572998198474573,0.6609187753523202,1.0,-0.029537401258697277,-0.014772737416823865,-0.003669128666685359,-0.2056671248787076
comments_disabled,-0.01134507211141724,0.023498480765599235,-0.03217831590984403,0.04686783411280824,-0.0029208718609655864,0.0035011866038847186,-0.029537401258697277,1.0,0.32630404200229013,-0.0027779460019320035,0.004851968489816906
ratings_disabled,-0.006847436200522901,0.010323843277245377,0.012369247566372915,-0.01225487962019161,-0.013714444252506583,0.014858562467571987,-0.014772737416823865,0.32630404200229013,1.0,-0.0014655577543948922,-0.0341763003129799
video_error_or_removed,0.004980404407944976,-0.018501111020104082,0.014120534083482083,-0.031210642933837778,-0.010896036634869797,-0.0013085500675192657,-0.003669128666685359,-0.0027779460019320035,-0.0014655577543948922,1.0,0.009484451304925317
VideoPopularity,-0.013562092430982461,-0.003909334700298869,0.01270846847614508,0.07149398515939041,0.04594196134939504,-0.25986630197837657,-0.2056671248787076,0.004851968489816906,-0.0341763003129799,0.009484451304925317,1.0
